name,type,location
Egerton University,Public,Njoro
Rongo University,Public,Rongo
Kisii University,Public,Kisii
Chuka University,Public,Chuka
Kenyatta University,Public,Nairobi
Pwani University,Public,Kilifi
South Eastern Kenya University,Public,Kitui
Machakos University,Public,Machakos
Moi University,Public,Eldoret
University of Nairobi,Public,Nairobi
Tharaka University,Public,Marimanti
Bomet University College,Public,Bomet
Koitaleel Samoei University College,Public,Nandi Hills
Maseno University,Public,Maseno
Tom Mboya University,Public,Homa Bay
Multimedia University of Kenya,Public,Nairobi
Technical University of Mombasa,Public,Mombasa
Technical University of Kenya,Public,Nairobi
Jomo Kenyatta University of Agriculture and Technology,Public,Juja
Catholic University of Eastern Africa,Private,Nairobi
KCA University,Private,Nairobi
Jaramogi Oginga Odinga University of Science and Technology,Public,Bondo
Garissa University,Public,Garissa
University of Kabianga,Public,Belgut
Meru University of Science and Technology,Public,Meru
Kabarak University,Private,Nakuru
Kirinyaga University,Public,Kutus
Co-operative University of Kenya,Public,Nairobi
University of Embu,Public,Embu
Daystar University,Private,Nairobi
Dedan Kimathi University of Technology,Public,Nyeri
Karatina University,Public,Karatina
Murang'a University of Technology,Public,Murang'a
Mount Kenya University,Private,Thika
Zetech University,Private,Ruiru
Masinde Muliro University of Science & Technology,Public,Kakamega
Taita Taveta University,Public,Voi
Kibabii University,Public,Bungoma
Maasai Mara University,Public,Narok
Kiriri Womens University of Science and Technology,Private,Nairobi
Presbyterian University of East Africa,Private,Kikuyu
St Pauls University,Private,Limuru
Alupe University,Public,Busia
Kenyatta University - Mama Ngina University College,Public,Gatundu
University of Eldoret,Public,Eldoret
"University of Eastern Africa, Baraton",Private,Baraton
