university_name,course_name,type,duration
Egerton University,Bachelor of Arts,Degree,4 Years
Rongo University,Bachelor of Arts,Degree,4 Years
Kisii University,Bachelor of Arts,Degree,4 Years
Chuka University,Bachelor of Arts,Degree,4 Years
Kenyatta University,Bachelor of Arts,Degree,4 Years
Pwani University,Bachelor of Arts,Degree,4 Years
South Eastern Kenya University,Bachelor of Arts,Degree,4 Years
Machakos University,Bachelor of Arts,Degree,4 Years
Moi University,Bachelor of Arts,Degree,4 Years
University of Nairobi,Bachelor of Arts,Degree,4 Years
Tharaka University,Bachelor of Arts,Degree,4 Years
Bomet University College,Bachelor of Arts,Degree,4 Years
Koitaleel Samoei University College,Bachelor of Arts,Degree,4 Years
Maseno University,Bachelor of Arts (With IT),Degree,4 Years
Tom Mboya University,Bachelor of Arts (With IT),Degree,4 Years
Multimedia University of Kenya,"Bachelor of Arts (Psychology, Sociology & Political Science)",Degree,4 Years
Technical University of Mombasa,Bachelor of Architectural Studies/Bachelor of Architecture,Degree,6 Years
Technical University of Kenya,Bachelor of Architectural Studies/Bachelor of Architecture,Degree,6 Years
Jomo Kenyatta University of Agriculture and Technology,Bachelor of Architectural Studies/Bachelor of Architecture,Degree,6 Years
University of Nairobi,Bachelor of Architectural Studies/Bachelor of Architecture,Degree,6 Years
Kenyatta University,Bachelor of Architectural Studies/Bachelor of Architecture,Degree,6 Years
Technical University of Mombasa,Bachelor of Quantity Surveying,Degree,4 Years
Technical University of Kenya,Bachelor of Quantity Surveying,Degree,4 Years
Jomo Kenyatta University of Agriculture and Technology,Bachelor of Quantity Surveying,Degree,4 Years
University of Nairobi,Bachelor of Quantity Surveying,Degree,4 Years
University of Nairobi,Bachelor of Arts (Design),Degree,4 Years
University of Nairobi,Bachelor of Arts (Anthropology),Degree,4 Years
Pwani University,Bachelor of Arts in Anthropology,Degree,4 Years
Catholic University of Eastern Africa,Bachelor of Arts in Anthropology,Degree,4 Years
Kisii University,Bachelor of Actuarial Science,Degree,4 Years
KCA University,Bachelor of Actuarial Science,Degree,4 Years
Tharaka University,Bachelor of Actuarial Science,Degree,4 Years
Jaramogi Oginga Odinga University of Science and Technology,Bachelor of Science (Actuarial Science with IT),Degree,4 Years
Maseno University,"Bachelor of Science (Actuarial Science, with IT)",Degree,4 Years
Tom Mboya University,"Bachelor of Science (Actuarial Science, with IT)",Degree,4 Years
Egerton University,Bachelor of Science (Actuarial Science),Degree,4 Years
Garissa University,Bachelor of Science (Actuarial Science),Degree,4 Years
Kenyatta University,Bachelor of Science (Actuarial Science),Degree,4 Years
University of Kabianga,Bachelor of Science (Actuarial Science),Degree,4 Years
South Eastern Kenya University,Bachelor of Science (Actuarial Science),Degree,4 Years
Machakos University,Bachelor of Science (Actuarial Science),Degree,4 Years
Meru University of Science and Technology,Bachelor of Science (Actuarial Science),Degree,4 Years
Moi University,Bachelor of Science (Actuarial Science),Degree,4 Years
University of Nairobi,Bachelor of Science (Actuarial Science),Degree,4 Years
Kabarak University,Bachelor of Science in Actuarial Science,Degree,4 Years
Kirinyaga University,Bachelor of Science in Actuarial Science,Degree,4 Years
Co-operative University of Kenya,Bachelor of Science in Actuarial Science,Degree,4 Years
University of Embu,Bachelor of Science in Actuarial Science,Degree,4 Years
Chuka University,Bachelor of Science in Actuarial Science,Degree,4 Years
University of Eldoret,Bachelor of Science in Actuarial Science,Degree,4 Years
Daystar University,Bachelor of Science in Actuarial Science,Degree,4 Years
Multimedia University of Kenya,Bachelor of Science in Actuarial Science,Degree,4 Years
Dedan Kimathi University of Technology,Bachelor of Science in Actuarial Science,Degree,4 Years
Karatina University,Bachelor of Science in Actuarial Science,Degree,4 Years
Murang'a University of Technology,Bachelor of Science in Actuarial Science,Degree,4 Years
Jomo Kenyatta University of Agriculture and Technology,Bachelor of Science in Actuarial Science,Degree,4 Years
Mount Kenya University,Bachelor of Science in Actuarial Science,Degree,4 Years
Zetech University,Bachelor of Science in Actuarial Science,Degree,4 Years
Catholic University of Eastern Africa,Bachelor of Science in Actuarial Science,Degree,4 Years
Maseno University,"Bachelor of Science (Industrial Chemistry, with IT)",Degree,4 Years
Tom Mboya University,"Bachelor of Science (Industrial Chemistry, with IT)",Degree,4 Years
Masinde Muliro University of Science & Technology,Bachelor of Science (Industrial Chemistry),Degree,4 Years
Kisii University,Bachelor of Science (Industrial Chemistry),Degree,4 Years
University of Embu,Bachelor of Science (Industrial Chemistry),Degree,4 Years
Pwani University,Bachelor of Science (Industrial Chemistry),Degree,4 Years
Murang'a University of Technology,Bachelor of Science (Industrial Chemistry),Degree,4 Years
University of Nairobi,Bachelor of Science (Industrial Chemistry),Degree,4 Years
Mount Kenya University,Bachelor of Science (Industrial Chemistry),Degree,4 Years
Taita Taveta University,Bachelor of Science in Industrial Chemistry,Degree,4 Years
Chuka University,Bachelor of Science in Industrial Chemistry,Degree,4 Years
Multimedia University of Kenya,Bachelor of Science in Industrial Chemistry,Degree,4 Years
Dedan Kimathi University of Technology,Bachelor of Science in Industrial Chemistry,Degree,4 Years
Jomo Kenyatta University of Agriculture and Technology,Bachelor of Science in Industrial Chemistry,Degree,4 Years
Maseno University,"Bachelor of Science (Mathematical Sciences, with IT)",Degree,4 Years
Tom Mboya University,"Bachelor of Science (Mathematical Sciences, with IT)",Degree,4 Years
Rongo University,Bachelor of Science (Mathematics),Degree,4 Years
Kibabii University,Bachelor of Science (Mathematics),Degree,4 Years
Technical University of Kenya,Bachelor of Science (Mathematics),Degree,4 Years
Pwani University,Bachelor of Science (Mathematics),Degree,4 Years
Maasai Mara University,Bachelor of Science (Mathematics),Degree,4 Years
South Eastern Kenya University,Bachelor of Science (Mathematics),Degree,4 Years
Machakos University,Bachelor of Science (Mathematics),Degree,4 Years
University of Nairobi,Bachelor of Science (Mathematics),Degree,4 Years
Catholic University of Eastern Africa,Bachelor of Science (Mathematics),Degree,4 Years
Chuka University,Bachelor of Science in Mathematics,Degree,4 Years
"University of Eastern Africa, Baraton",Bachelor of Science in Mathematics,Degree,4 Years
Meru University of Science and Technology,Bachelor of Science in Mathematics,Degree,4 Years
Kiriri Womens University of Science and Technology,Bachelor of Science in Mathematics,Degree,4 Years
South Eastern Kenya University,Bachelor of Science (Meteorology),Degree,4 Years
University of Nairobi,Bachelor of Science (Meteorology),Degree,4 Years
Masinde Muliro University of Science & Technology,Bachelor of Science (Biology),Degree,4 Years
University of Embu,Bachelor of Science (Biology),Degree,4 Years
Kibabii University,Bachelor of Science (Biology),Degree,4 Years
Kenyatta University,Bachelor of Science (Biology),Degree,4 Years
South Eastern Kenya University,Bachelor of Science (Biology),Degree,4 Years
University of Nairobi,Bachelor of Science (Biology),Degree,4 Years
Kaimosi Friends University,Bachelor of Science (Biology),Degree,4 Years
Koitaleel Samoei University College,Bachelor of Science (Biology),Degree,4 Years
Chuka University,Bachelor of Science in Biology,Degree,4 Years
Machakos University,Bachelor of Science in Biology,Degree,4 Years
"University of Eastern Africa, Baraton",Bachelor of Science in Biology,Degree,4 Years
Catholic University of Eastern Africa,Bachelor of Science in Biology,Degree,4 Years
Kisii University,Bachelor of Science in Biology (Botany or Zoology Option),Degree,4 Years
Jaramogi Oginga Odinga University of Science and Technology,Bachelor of Science (Biological Sciences),Degree,4 Years
Laikipia University,Bachelor of Science (Biochemistry),Degree,4 Years
Egerton University,Bachelor of Science (Biochemistry),Degree,4 Years
Rongo University,Bachelor of Science (Biochemistry),Degree,4 Years
Kenya Methodist University,Bachelor of Science (Biochemistry),Degree,4 Years
Masinde Muliro University of Science & Technology,Bachelor of Science (Biochemistry),Degree,4 Years
Kisii University,Bachelor of Science (Biochemistry),Degree,4 Years
University of Embu,Bachelor of Science (Biochemistry),Degree,4 Years
Chuka University,Bachelor of Science (Biochemistry),Degree,4 Years
Kenyatta University,Bachelor of Science (Biochemistry),Degree,4 Years
Technical University of Kenya,Bachelor of Science (Biochemistry),Degree,4 Years
Pwani University,Bachelor of Science (Biochemistry),Degree,4 Years
University of Kabianga,Bachelor of Science (Biochemistry),Degree,4 Years
Moi University,Bachelor of Science (Biochemistry),Degree,4 Years
University of Nairobi,Bachelor of Science (Biochemistry),Degree,4 Years
Technical University of Mombasa,Bachelor of Science in Biochemistry,Degree,4 Years
University of Eldoret,Bachelor of Science in Biochemistry,Degree,4 Years
Meru University of Science and Technology,Bachelor of Science in Biochemistry,Degree,4 Years
Maseno University,"Bachelor of Science (Biochemistry, with IT)",Degree,4 Years
South Eastern Kenya University,Bachelor of Science (Geology),Degree,4 Years
University of Nairobi,Bachelor of Science (Geology),Degree,4 Years
Dedan Kimathi University of Technology,Bachelor of Science in Geology,Degree,4 Years
Kenyatta University,Bachelor of Science (Analytical Chemistry with Management),Degree,4 Years
Kisii University,Bachelor of Science (Analytical Chemistry),Degree,4 Years
University of Embu,Bachelor of Science (Analytical Chemistry),Degree,4 Years
Murang'a University of Technology,Bachelor of Science (Analytical Chemistry),Degree,4 Years
University of Nairobi,Bachelor of Science (Analytical Chemistry),Degree,4 Years
Kirinyaga University,Bachelor of Science in Analytical Chemistry,Degree,4 Years
Taita Taveta University,Bachelor of Science in Analytical Chemistry,Degree,4 Years
Multimedia University of Kenya,Bachelor of Science in Analytical Chemistry,Degree,4 Years
Machakos University,Bachelor of Science in Analytical Chemistry,Degree,4 Years
Jomo Kenyatta University of Agriculture and Technology,Bachelor of Science in Analytical Chemistry,Degree,4 Years
University of Eldoret,Bachelor of Science in Analytical Chemistry with Computing,Degree,4 Years
Maseno University,"Bachelor of Science (Analytical Chemistry, with IT)",Degree,4 Years
Laikipia University,Bachelor of Science (Computer Science),Degree,4 Years
Murang'a University of Technology,Bachelor of Science (Computer Science),Degree,4 Years
Tom Mboya University,Bachelor of Science (Computer Science),Degree,4 Years
Egerton University,Bachelor of Science (Computer Science),Degree,4 Years
Rongo University,Bachelor of Science (Computer Science),Degree,4 Years
Africa Nazarene University,Bachelor of Science (Computer Science),Degree,4 Years
Kirinyaga University,Bachelor of Science (Computer Science),Degree,4 Years
Masinde Muliro University of Science & Technology,Bachelor of Science (Computer Science),Degree,4 Years
Presbyterian University of East Africa,Bachelor of Science in Computer Science,Degree,4 Years
Meru University of Science and Technology,Bachelor of Science in Computer Science,Degree,4 Years
Karatina University,Bachelor of Science in Computer Science,Degree,4 Years
Jomo Kenyatta University of Agriculture and Technology,Bachelor of Science in Computer Science,Degree,4 Years
Mount Kenya University,Bachelor of Science in Computer Science,Degree,4 Years
Technical University of Mombasa,Bachelor of Science in Mechanical Engineering,Degree,4 Years
University of Nairobi,Bachelor of Science (B.Sc),Degree,4 Years
Machakos University,Bachelor of Science in Mechanical Engineering,Degree,4 Years
Dedan Kimathi University of Technology,Bachelor of Science in Mechanical Engineering,Degree,4 Years
South Eastern Kenya University,Bachelor of Science (Agriculture),Degree,4 Years
Meru University of Science and Technology,Bachelor of Science (Agriculture),Degree,4 Years
Murang'a University of Technology,Bachelor of Science (Agriculture),Degree,4 Years
University of Nairobi,Bachelor of Science (Microprocessor Technology and Instrumentation),Degree,4 Years
